dest_lat,dest_lon,Destination
33.0,66.0,Afghanistan
41.0,20.0,Albania
28.0,3.0,Algeria
-14.3333333,-170.0,American Samoa
42.5,1.5,Andorra
-12.5,18.5,Angola
18.216667,-63.05,Anguilla
17.05,-61.8,Antigua and Barbuda
-34.0,-64.0,Argentina
40.0,45.0,Armenia
12.5,-69.966667,Aruba
-15.95,-5.7,Ascension
-12.416667,123.333333,Ashmore and Cartier Islands
-25.0,135.0,Australia
47.333333,13.333333,Austria
40.5,47.5,Azerbaijan
24.0,-76.0,Bahamas
26.0,50.5,Bahrain
24.0,90.0,Bangladesh
13.166667,-59.533333,Barbados
-21.416667,39.7,Bassas da India
53.0,28.0,Belarus
50.833333,4.0,Belgium
17.25,-88.75,Belize
9.5,2.25,Benin
32.333333,-64.75,Bermuda
27.5,90.5,Bhutan
-17.0,-65.0,Bolivia
12.2,-68.25,Bonaire
44.25,17.833333,Bosnia and Herzegovina
-22.0,24.0,Botswana
-54.433333,3.4,Bouvet Island
-10.0,-55.0,Brazil
-6.0,72.0,British Indian Ocean Territory
18.5,-64.5,British Virgin Islands
4.5,114.666667,Brunei
43.0,25.0,Bulgaria
13.0,-2.0,Burkina Faso
22.0,98.0,Burma
-3.5,30.0,Burundi
13.0,105.0,Cambodia
6.0,12.0,Cameroon
60.0,-96.0,Canada
16.0,-24.0,Cape Verde
19.5,-80.666667,Cayman Islands
7.0,21.0,Central African Republic
15.0,19.0,Chad
-30.0,-71.0,Chile
35.0,105.0,China
-10.5,105.666667,Christmas Island
10.283333,-109.216667,Clipperton Island
-12.0,96.833333,Cocos (Keeling) Islands
4.0,-72.0,Colombia
-12.166667,44.25,Comoros
-16.083333,-161.583333,Cook Islands
-17.5,151.0,Coral Sea Islands
10.0,-84.0,Costa Rica
8.0,-5.0,Cote d'Ivoire
45.166667,15.5,Croatia
22.0,-79.5,Cuba
12.166667,-69.0,Curaçao
35.0,33.0,Cyprus
49.75,15.0,Czech Republic
0.0,25.0,Democratic Republic of the Congo
56.0,10.0,Denmark
11.5,42.5,Djibouti
15.5,-61.333333,Dominica
19.0,-70.666667,Dominican Republic
-2.0,-77.5,Ecuador
27.0,30.0,Egypt
13.833333,-88.916667,El Salvador
2.0,10.0,Equatorial Guinea
15.0,39.0,Eritrea
59.0,26.0,Estonia
8.0,38.0,Ethiopia
-22.333333,40.366667,Europa Island
-51.75,-59.166667,Falkland Islands
62.0,-7.0,Faroe Islands
5.0,152.0,Federated States of Micronesia
-18.0,178.0,Fiji
64.0,26.0,Finland
46.0,2.0,France
4.0,-53.0,French Guiana
-15.0,-140.0,French Polynesia
-43.0,67.0,French Southern and Antarctic Lands
-1.0,11.75,Gabon
13.5,-15.5,Gambia
31.425074,34.373398,Gaza Strip
41.999981,43.499905,Georgia
51.5,10.5,Germany
